data,SP100,MIB30,DAX30,SMI,EUR,CHF
1/1/1999,604.03,35152,5002.39,7160.7,0.8516,1.413
1/4/1999,604.93,37417,5252.36,7441.8,0.8475,1.3655
1/5/1999,615.38,37807,5253.91,7545.8,0.8486,1.3697
1/6/1999,631,37807,5443.62,7668.8,0.8532,1.3926
1/7/1999,632.76,37797,5323.21,7549.7,0.8568,1.3776
1/8/1999,636.02,37670,5392.84,7633.7,0.8656,1.3935
1/11/1999,629.42,36733,5270.6,7464.4,0.867,1.4005
1/12/1999,616.49,35801,5200.1,7427.2,0.8663,1.3875
1/13/1999,612.83,34218,4931.8,7125,0.8544,1.3645
1/14/1999,600.85,34190,4912.75,7088,0.8546,1.3575
1/15/1999,616.46,35042,4960.22,7218.1,0.8628,1.3831
1/18/1999,616.46,35887,5050.4,7248.1,0.8623,1.3815
1/19/1999,623.32,35113,5073.15,7207.7,0.8615,1.3765
1/20/1999,626.01,35382,5143.06,7300.2,0.8642,1.3887
1/21/1999,617.08,34601,5156.67,7125.4,0.8633,1.3853
1/22/1999,610.38,33745,5019.28,7036.4,0.8634,1.382
1/25/1999,616.06,33648,4982.45,7076.2,0.8649,1.387
1/26/1999,627.17,33806,4986.8,7074.6,0.864,1.389
1/27/1999,621.35,33749,5061.18,7030.2,0.8693,1.4098
1/28/1999,632.23,34446,5096.41,7137.8,0.8758,1.4123
1/29/1999,640.44,34672,5159.96,7201.2,0.8805,1.4157
2/1/1999,635.67,35164,5190.82,7291.2,0.8846,1.4217
2/2/1999,629.28,34623,5166.87,7225.1,0.8807,1.4133
2/3/1999,635.66,34192,5085.66,7193,0.8814,1.4175
2/4/1999,622.28,34021,5077.85,7137.2,0.8857,1.414
2/5/1999,617.67,33944,5080.77,7137,0.886,1.4233
2/8/1999,621.7,33328,5027.22,7055.9,0.889,1.4157
2/9/1999,606.52,32336,4904.35,6943,0.885,1.4185
2/10/1999,612.43,32879,4796.82,6891.2,0.8832,1.4085
2/11/1999,628.27,33405,4839.33,6898.9,0.8851,1.4265
2/12/1999,616.14,33852,4888.74,6963.1,0.8867,1.4155
2/15/1999,616.14,34346,4879.55,6988.5,0.8899,1.4155
2/16/1999,619.74,33759,4904.68,7015.2,0.8945,1.4257
2/17/1999,612.65,33561,4810.09,7045.9,0.8902,1.4205
2/18/1999,618.18,33741,4845.08,6981.6,0.8911,1.4285
2/19/1999,620.29,34384,4802.38,6942.7,0.9012,1.4455
2/22/1999,635.25,35497,4845.18,7076.7,0.9065,1.4493
2/23/1999,635.45,35411,4987.56,7145.7,0.9107,1.4477
2/24/1999,624.95,36013,5062.31,7233.7,0.9129,1.446
2/25/1999,623.25,35010,4958.58,7101.8,0.9049,1.439
2/26/1999,618.42,35055,4911.81,7063.8,0.9109,1.447
3/1/1999,618.06,34768,4784.31,6995,0.9146,1.4623
3/2/1999,611.39,34764,4804.02,6976.5,0.9151,1.4565
3/3/1999,612,34148,4697.67,6986.1,0.9159,1.4601
3/4/1999,623.22,35148,4678.72,7106.8,0.9234,1.47
3/5/1999,638.99,36367,4839.09,7213.3,0.9216,1.4687
3/8/1999,643.07,35759,4788.69,7185.9,0.9189,1.463
3/9/1999,640.93,36382,4758.46,7267.2,0.9184,1.4668
3/10/1999,644.4,36870,4721.41,7209.4,0.9128,1.4595
3/11/1999,649.85,37111,4754.41,7322.6,0.9232,1.4535
3/12/1999,648.27,36479,5008.16,7250.7,0.9137,1.4648
3/15/1999,655.48,37069,5029.24,7240.9,0.9137,1.4643
3/16/1999,655.67,36806,5094.63,7218.9,0.9167,1.454
3/17/1999,650.88,36643,5077.43,7231.8,0.9084,1.4514
3/18/1999,659.25,37004,5013.62,7195.7,0.9102,1.4577
3/19/1999,650.11,37220,5099.48,7208.3,0.9152,1.467
3/22/1999,649.55,36606,5027.06,7153.6,0.917,1.4632
3/23/1999,631.9,35919,4915.03,7013.6,0.9177,1.4575
3/24/1999,635.5,35512,4780.13,6949,0.9157,1.46441
3/25/1999,647.53,36046,4860.26,7082.2,0.9197,1.472
3/26/1999,643.68,35650,4775.17,7008.2,0.9316,1.4793
3/29/1999,659.47,36493,4876.92,7086.3,0.9331,1.4847
3/30/1999,655.98,36463,4856.84,7024.1,0.9292,1.4903
3/31/1999,646.59,36975,4884.2,7130.2,0.9263,1.4815
4/1/1999,649.92,36611,4914.59,7132.4,0.9249,1.48
4/2/1999,649.92,36611,4914.59,7132.4,0.927,1.481
4/5/1999,664.86,36611,4914.59,7132.4,0.9327,1.4893
4/6/1999,665.29,37093,4965.29,7170,0.9292,1.473
4/7/1999,672.84,37065,5052.27,7216.8,0.9263,1.4824
4/8/1999,679.49,37152,5068.75,7332.9,0.923,1.4863
4/9/1999,681.34,36760,5124.18,7386.9,0.9279,1.4825
4/12/1999,685.45,36707,5159.16,7352.9,0.9219,1.4855
4/13/1999,681.45,36995,5199.18,7366.2,0.9267,1.4905
4/14/1999,668.93,36830,5182.16,7378.2,0.925,1.4836
4/15/1999,669.61,36574,5181.01,7234.1,0.9321,1.4936
4/16/1999,668.65,36554,5155.35,7164.8,0.9341,1.497
4/19/1999,652.89,36763,5220.15,7248.8,0.9422,1.503
4/20/1999,662.08,36475,5087.29,7129.4,0.9384,1.5063
4/21/1999,676.68,36663,5163.29,7124.7,0.9427,1.51
4/22/1999,690.01,36598,5218.82,7179.8,0.9437,1.504
4/23/1999,687.41,36513,5195.42,7145.8,0.9394,1.5095
4/26/1999,689.98,36172,5256.22,7254.7,0.9431,1.514
4/27/1999,689.36,36915,5347.5,7377.3,0.9391,1.5077
4/28/1999,683.84,36638,5348.61,7360.9,0.9405,1.5113
4/29/1999,679.54,36470,5334.42,7304.6,0.9442,1.5207
4/30/1999,675.65,36791,5393.11,7335.5,0.9452,1.522
5/3/1999,685.08,36840,5377.56,7443.1,0.9463,1.5237
5/4/1999,673.28,36833,5383.21,7355.9,0.9426,1.5115
5/5/1999,682.34,36623,5307.22,7283.8,0.9364,1.493
5/6/1999,674.54,36483,5274.45,7234.9,0.9277,1.4887
5/7/1999,681.74,36348,5297.38,7215.4,0.927,1.49432
5/10/1999,677.92,36267,5205.95,7225.6,0.9257,1.491
